2015,All Races,Both Sexes,,733.1
2014,All Races,Both Sexes,78.9,724.6
2013,All Races,Both Sexes,78.8,731.9
2012,All Races,Both Sexes,78.8,732.8
2011,All Races,Both Sexes,78.7,741.3
2010,All Races,Both Sexes,78.7,747.0
2009,All Races,Both Sexes,78.5,749.6
2008,All Races,Both Sexes,78.2,774.9
2007,All Races,Both Sexes,78.1,775.3
2006,All Races,Both Sexes,77.8,791.8
2005,All Races,Both Sexes,77.6,815.0
2004,All Races,Both Sexes,77.5,813.7
2003,All Races,Both Sexes,77.6,843.5
2002,All Races,Both Sexes,77.0,855.9
2001,All Races,Both Sexes,77.0,858.8
2000,All Races,Both Sexes,76.8,869.0
1999,All Races,Both Sexes,76.7,875.6
1998,All Races,Both Sexes,76.7,870.1
1997,All Races,Both Sexes,76.5,877.7
1996,All Races,Both Sexes,76.1,893.7
1995,All Races,Both Sexes,75.8,909.5
1994,All Races,Both Sexes,75.7,913.2
1993,All Races,Both Sexes,75.5,925.8
1992,All Races,Both Sexes,75.8,905.3
1991,All Races,Both Sexes,75.5,921.9
1990,All Races,Both Sexes,75.4,938.0
1989,All Races,Both Sexes,75.1,949.9
1988,All Races,Both Sexes,74.9,975.1
1987,All Races,Both Sexes,74.9,969.6
1986,All Races,Both Sexes,74.7,978.4
1985,All Races,Both Sexes,74.7,987.8
1984,All Races,Both Sexes,74.7,982.1
1983,All Races,Both Sexes,74.6,990.0
1982,All Races,Both Sexes,74.5,984.9
1981,All Races,Both Sexes,74.1,1007.0
1980,All Races,Both Sexes,73.7,1038.7
1979,All Races,Both Sexes,73.9,1010.6
1978,All Races,Both Sexes,73.5,1043.7
1977,All Races,Both Sexes,73.3,1051.6
1976,All Races,Both Sexes,72.9,1084.1
1975,All Races,Both Sexes,72.6,1094.4
1974,All Races,Both Sexes,72.0,1151.8
1973,All Races,Both Sexes,71.4,1201.2
1972,All Races,Both Sexes,71.2,1214.8
1971,All Races,Both Sexes,71.1,1213.1
1970,All Races,Both Sexes,70.8,1222.6
2015,All Races,Female,,624.2
2014,All Races,Female,81.3,616.7
2013,All Races,Female,81.2,623.5
2012,All Races,Female,81.2,624.7
2011,All Races,Female,81.1,632.4
2010,All Races,Female,81.0,634.9
2009,All Races,Female,80.9,636.8
2008,All Races,Female,80.6,660.0
2007,All Races,Female,80.6,658.1
2006,All Races,Female,80.3,672.2
2005,All Races,Female,80.1,692.3
2004,All Races,Female,80.1,690.5
2003,All Races,Female,79.7,715.2
2002,All Races,Female,79.6,723.6
2001,All Races,Female,79.5,725.6
2000,All Races,Female,79.7,731.4
1999,All Races,Female,79.4,734.0
1998,All Races,Female,79.5,724.2
1997,All Races,Female,79.4,725.3
1996,All Races,Female,79.1,732.7
1995,All Races,Female,78.9,739.2
1994,All Races,Female,79.0,738.3
1993,All Races,Female,78.8,745.6
1992,All Races,Female,79.1,725.3
1991,All Races,Female,78.9,737.9
1990,All Races,Female,78.8,750.3
1989,All Races,Female,78.5,761.3
1988,All Races,Female,78.3,780.5
1987,All Races,Female,78.3,773.8
1986,All Races,Female,78.2,778.5
1985,All Races,Female,78.2,784.2
1984,All Races,Female,78.2,779.4
1983,All Races,Female,78.1,783.3
1982,All Races,Female,78.1,776.4
1981,All Races,Female,77.8,792.7
1980,All Races,Female,77.4,817.7
1979,All Races,Female,77.8,789.9
1978,All Races,Female,77.3,816.4
1977,All Races,Female,77.2,820.7
1976,All Races,Female,76.8,849.4
1975,All Races,Female,76.6,855.1
1974,All Races,Female,75.9,907.5
1973,All Races,Female,75.3,947.8
1972,All Races,Female,75.1,958.7
1971,All Races,Female,75.0,960.6
1970,All Races,Female,74.7,971.4
2015,All Races,Male,,863.2
2014,All Races,Male,76.5,855.1
2013,All Races,Male,76.4,863.6
2012,All Races,Male,76.4,865.1
2011,All Races,Male,76.3,875.3
2010,All Races,Male,76.2,887.1
2009,All Races,Male,76.0,890.9
2008,All Races,Male,75.6,918.8
2007,All Races,Male,75.5,922.9
2006,All Races,Male,75.2,943.4
2005,All Races,Male,75.0,971.9
2004,All Races,Male,75.0,973.3
2003,All Races,Male,74.5,1010.3
2002,All Races,Male,74.4,1030.6
2001,All Races,Male,74.3,1035.3
2000,All Races,Male,74.3,1053.8
1999,All Races,Male,73.9,1067.0
1998,All Races,Male,73.8,1068.9
1997,All Races,Male,73.6,1087.7
1996,All Races,Male,73.1,1115.2
1995,All Races,Male,72.5,1143.6
1994,All Races,Male,72.4,1155.1
1993,All Races,Male,72.2,1177.0
1992,All Races,Male,72.3,1158.0
1991,All Races,Male,72.0,1180.2
1990,All Races,Male,71.8,1202.0
1989,All Races,Male,71.7,1214.2
1988,All Races,Male,71.4,1250.0
1987,All Races,Male,71.4,1245.7
1986,All Races,Male,71.2,1261.5
1985,All Races,Male,71.1,1277.6
1984,All Races,Male,71.1,1271.0
1983,All Races,Male,71.0,1284.4
1982,All Races,Male,70.8,1279.9
1981,All Races,Male,70.4,1308.2
1980,All Races,Male,70.0,1347.6
1979,All Races,Male,70.0,1316.2
1978,All Races,Male,69.6,1358.1
1977,All Races,Male,69.5,1369.3
1976,All Races,Male,69.1,1404.3
1975,All Races,Male,68.8,1417.4
1974,All Races,Male,68.2,1478.5
1973,All Races,Male,67.6,1537.5
1972,All Races,Male,67.4,1551.1
1971,All Races,Male,67.4,1542.5
1970,All Races,Male,67.1,1542.1
2015,Black,Both Sexes,,851.9
2014,Black,Both Sexes,75.6,849.3
2013,Black,Both Sexes,75.5,860.8
2012,Black,Both Sexes,75.5,864.8
2011,Black,Both Sexes,75.3,877.1
2010,Black,Both Sexes,75.1,898.2
2009,Black,Both Sexes,74.7,912.8
2008,Black,Both Sexes,74.3,947.6
2007,Black,Both Sexes,73.8,972.0
2006,Black,Both Sexes,73.4,997.9
2005,Black,Both Sexes,73.0,1035.1
2004,Black,Both Sexes,72.9,1043.8
2003,Black,Both Sexes,72.4,1080.5
2002,Black,Both Sexes,72.2,1097.3
2001,Black,Both Sexes,72.0,1106.2
2000,Black,Both Sexes,71.8,1121.4
1999,Black,Both Sexes,71.4,1135.7
1998,Black,Both Sexes,71.3,1127.1
1997,Black,Both Sexes,71.1,1139.2
1996,Black,Both Sexes,70.2,1177.6
1995,Black,Both Sexes,69.6,1213.6
1994,Black,Both Sexes,69.5,1216.2
1993,Black,Both Sexes,69.2,1240.2
1992,Black,Both Sexes,69.6,1205.3
1991,Black,Both Sexes,69.3,1233.6
1990,Black,Both Sexes,69.1,1248.5
1989,Black,Both Sexes,68.8,1273.5
1988,Black,Both Sexes,68.9,1281.9
1987,Black,Both Sexes,69.1,1260.9
1986,Black,Both Sexes,69.1,1264.6
1985,Black,Both Sexes,69.3,1259.1
1984,Black,Both Sexes,69.5,1234.5
1983,Black,Both Sexes,69.4,1239.8
1982,Black,Both Sexes,69.4,1220.1
1981,Black,Both Sexes,68.9,1256.5
1980,Black,Both Sexes,68.1,1312.9
1979,Black,Both Sexes,68.5,1238.5
1978,Black,Both Sexes,68.1,1267.7
1977,Black,Both Sexes,67.7,1286.0
1976,Black,Both Sexes,67.2,1311.2
1975,Black,Both Sexes,66.8,1327.5
1974,Black,Both Sexes,66.0,1397.7
1973,Black,Both Sexes,65.0,1473.3
1972,Black,Both Sexes,64.7,1486.3
1971,Black,Both Sexes,64.6,1481.3
1970,Black,Both Sexes,64.1,1518.1
2015,Black,Female,,710.8
2014,Black,Female,78.5,713.3
2013,Black,Female,78.4,720.6
2012,Black,Female,78.4,723.9
2011,Black,Female,78.2,739.8
2010,Black,Female,78.0,752.5
2009,Black,Female,77.7,763.3
2008,Black,Female,77.3,792.0
2007,Black,Female,77.0,808.1
2006,Black,Female,76.7,828.4
2005,Black,Female,76.2,862.7
2004,Black,Female,76.1,869.8
2003,Black,Female,75.7,898.3
2002,Black,Female,75.4,913.5
2001,Black,Female,75.3,917.9
2000,Black,Female,75.1,927.6
1999,Black,Female,74.7,933.6
1998,Black,Female,74.8,921.0
1997,Black,Female,74.7,921.6
1996,Black,Female,74.2,939.6
1995,Black,Female,73.9,955.7
1994,Black,Female,73.9,954.0
1993,Black,Female,73.7,968.6
1992,Black,Female,73.9,941.4
1991,Black,Female,73.8,961.8
1990,Black,Female,73.6,973.6
1989,Black,Female,73.3,995.8
1988,Black,Female,73.2,1005.4
1987,Black,Female,73.4,988.4
1986,Black,Female,73.4,992.7
1985,Black,Female,73.4,992.2
1984,Black,Female,73.6,974.9
1983,Black,Female,73.5,980.2
1982,Black,Female,73.6,958.8
1981,Black,Female,73.2,985.7
1980,Black,Female,72.5,1031.8
1979,Black,Female,72.9,967.1
1978,Black,Female,72.4,995.1
1977,Black,Female,72.0,1012.2
1976,Black,Female,71.6,1031.2
1975,Black,Female,71.3,1042.4
1974,Black,Female,70.3,1109.7
1973,Black,Female,69.3,1179.7
1972,Black,Female,69.1,1181.2
1971,Black,Female,68.9,1196.8
1970,Black,Female,68.3,1228.7
2015,Black,Male,,1040.3
2014,Black,Male,72.5,1034.0
2013,Black,Male,72.3,1052.8
2012,Black,Male,72.3,1058.6
2011,Black,Male,72.2,1067.1
2010,Black,Male,71.8,1104.0
2009,Black,Male,71.4,1123.1
2008,Black,Male,70.9,1168.0
2007,Black,Male,70.3,1204.8
2006,Black,Male,69.9,1239.5
2005,Black,Male,69.5,1281.3
2004,Black,Male,69.4,1296.9
2003,Black,Male,68.9,1343.5
2002,Black,Male,68.7,1364.8
2001,Black,Male,68.5,1380.5
2000,Black,Male,68.2,1403.5
1999,Black,Male,67.8,1432.6
1998,Black,Male,67.6,1429.8
1997,Black,Male,67.2,1458.2
1996,Black,Male,66.1,1523.2
1995,Black,Male,65.2,1585.2
1994,Black,Male,64.9,1591.9
1993,Black,Male,64.6,1631.1
1992,Black,Male,65.0,1586.2
1991,Black,Male,64.6,1624.1
1990,Black,Male,64.5,1642.4
1989,Black,Male,64.3,1666.1
1988,Black,Male,64.4,1673.1
1987,Black,Male,64.7,1646.3
1986,Black,Male,64.8,1648.4
1985,Black,Male,65.0,1632.9
1984,Black,Male,65.3,1597.1
1983,Black,Male,65.2,1600.5
1982,Black,Male,65.1,1580.0
1981,Black,Male,64.5,1626.6
1980,Black,Male,63.8,1695.5
1979,Black,Male,64.0,1601.5
1978,Black,Male,63.7,1626.9
1977,Black,Male,63.4,1647.9
1976,Black,Male,62.9,1676.0
1975,Black,Male,62.4,1697.0
1974,Black,Male,61.7,1769.5
1973,Black,Male,60.9,1849.5
1972,Black,Male,60.4,1871.8
1971,Black,Male,60.5,1836.1
1970,Black,Male,60.0,1873.9
